"key" "fi" "sv"
"createApplication.loc-info" "Määritä hankkeen sijainti valitsemalla paikka kartalta tai antamalla alla olevaan kenttään osoite tai kiinteistötunnus." "Ange projektets placering genom att välja platsen på kartan eller genom att skriva in adressen eller fastighetsbeteckningen i nedanstående fält."
"createApplication.new-application" "Uusi hakemus" "Ny ansökan"
"createApplication.project-address" "Osoite:" "Adress:"
"createApplication.project-description-header" "Kerro hankkeestasi vapaasti" "Beskriv fritt ditt projekt"
"createApplication.project-description-prompt" "Millaista hanketta olet käynnistämässä?" "Hurdant projekt ämnar du påbörja?"
"createApplication.project-description-text" "Määritä alla olevien kysymysten avulla, millaisesta rakentamistarpeesta on kyse. Antamiesi lisätietojen avulla palvelu määrittää onko hankkeesi luvanvarainen. Palvelu opastaa, kenen viranomaisen kanssa sinun tulisi asioida. Kuvattuasi tarpeesi voit ottaa palvelun avulla yhteyttä kuntasi viranomaiseen." "Ange med hjälp av nedanstående frågor vad förslags byggnadsbehov det är fråga om. Utgående från dessa tilläggsuppgifter, fastställer tjänsten om ditt projekt är tillståndspliktigt. Tjänsten instruerar dig om vilken myndighet du ska kontakta. Efter att ha beskrivit dina behov kan du via tjänsten kontakta myndigheten i din kommun."
"createApplication.project-information" "Hankkeen tiedot:" "Projektets uppgifter:"
"createApplication.project-muncipality" "Kunta:" "Kommun:"
"createApplication.project-property" "Kiinteistötunnus:" "Fastighetsbeteckning:"
"createApplication.stage1" "Uusi hakemus 1/3" "Ny ansökan 1/3"
"createApplication.stage2" "Uusi hakemus 2/3" "Ny ansökan 2/3"
"declined" "Evätty" "Avslagen"
"document.approve" "OK" "OK"
"document.approved" "Tiedot OK" "Uppgifterna OK"
"document.delete.header" "Poista hakemuksen osa" "Ta bort del av ansökan"
"document.delete.message" "Oletko varma, että haluat poistaa hakemuksen osan?" "Är du säker på att du vill ta bort en del av ansökan?"
"document.reject" "Tarkennettavaa" "Bör preciseras"
"document.rejected" "Tarkennettavaa" "Bör preciseras"
"document-would-be-in-error-after-update" "Käyttäjät tiedot ovat puutteelliset. Tietojen tuonti hakemukselle ei onnistunut." "Uppgifter om användaren är ofullkomliga. Importen av uppgifterna lyckades inte."
"download" "Lataa" "Ladda ner"
"download-all" "Lataa kaikki liitteet" "Ladda alla bilagor"
"draft" "Luonnos" "Utkast"
"draft.title" "Luonnos-tilassa hakemus ei näy viranomaisille. Voit rauhassa valmistella hakemusta ja kutsua muita osapuolia hakemukselle. Voit julkaista hakemuksen viranomaiselle kysymällä neuvoa keskusteluketjussa tai jättämällä hakemuksen vireille." "I utkastläget kan myndigheten inte se ansökan. Du kan färdigställa din ansökan i fred och bjuda in andra parter till ansökningen.  Du kanpublicera ansökan för myndigheten genom att be om råd i diskussionstråden eller genom att lämna in ansökan."
"edit" "Muokkaa" "Redigerar"
"edit.address" "Muokkaa osoitetta" "Redigerar"
"email.title.account-activation" "Käyttäjätunnuksen aktivointi" "Aktivering av användaridentifikation"
"email.title.active-application-reminder" "Muistutus aktiivisesta hakemuksesta" "Påminnelse om aktiv ansökan"
"email.title.invite" "kutsu" "inbjudan"
"email.title.neighbor" "naapurin kuuleminen" "hörande av granne"
"email.title.neighbor-reminder" "Muistutus naapurin kuulemisesta" "Påminnelse om hörande av granne"
"email.title.new-comment" "uusi kommentti" "ny kommentar"
"email.title.open-inforequest-reminder" "Muistutus avoimesta neuvontapyynnöstä" "Påminnelse om öppen rådgivningsbegäran"
"email.title.state-change" "hakemuksen tila muuttunut" "ansökans status har förändrats"
"email.title.statement-request" "Lausuntopyyntö" "Begäran om utlåtande"
"email.title.statement-request-reminder" "Muistutus lausuntopyynnöstä" "Påminnelse om begäran om utlåtande"
"email.title.verdict" "päätös" "beslut"
"email-in-use" "Sähköpostiosoite on jo käytössä" "E-postadressen används redan"
"error.add-operation-not-allowed" "Toimenpiteen lisääminen ei ole sallittu" "Det är inte tillåtet att lägga till åtgärden."
"error.application-does-not-have-given-auth" "Valittua käyttäjää ei ole valtuutettu hakemukselle" "Den valda användaren har inte fullmakt i ansökan"
"error.application-not-accessible" "Hakemusta ei löydy tai siihen ei ole käyttöoikeutta. Avaa omat hakemukset tai kirjaudu sisään uudelleen." "Ansökan hittas ej eller åtkomst nekas. Öppna egna ansökningar eller logga in på nytt."
"error.application-not-found" "Hakemusta ei löydy" "Ansökan kan inte hittas"
"error.attachment-is-locked" "Liitetiedosto on lukossa" "Bilagan är låst"
"error.attachment-placeholder" "Liitteen luominen epäonnistui" "Skapandet av bilaga misslyckades"
"error.command-illegal-state" "Toimintoa ei voi suorittaa tässä tilassa" "Funktionen kan inte genomföras i detta läge"
"error.create-user" "Käyttäjätunnuksen luominen epäonnistui. Ole hyvä ja yritä tunnistautumista uudelleen." "Skapandet av användarnamn misslyckades. Var god och försök att identifiera på nytt."
"error.dialog.title" "Virhe" "Fel"
"error.document-not-approvable" "Lomakkeen hyväksyntä ei ole mahdollista" "Det är inte möjligt att godkänna blanketten"
"error.document-not-found" "Lomaketta ei löydy" "Blanketten kan inte hittas"
"error.duplicate-email" "Sähköpostiosoitteella on jo rekisteröity. Voit tarvittaessa tilata uuden salasanan etusivun \"Oletko unohtanut salasanasi\"-linkistä" "E-postadressen har redan registrerats. Du kan vid behov be om ett nytt lösenord via länken \"Har du glömt lösenordet\" på ingångssidan"
"error.duplicate-person-id" "Henkilötunnuksella on jo rekisteröity. Voit tarvittaessa tilata uuden salasanan etusivun \"Oletko unohtanut salasanasi\"-linkistä" "Personbeteckningen har redan registrerats. Du kan vid behov be om ett nytt lösenord via länken \"Har du glömt lösenordet\" på ingångssidan"
"error.email" "Virheellinen sähköpostiosoite" "Felaktig e-postadress"
"error.email-not-found" "Antamaasi sähköpostiosoitetta ei löydy järjestelmästä. Ole hyvä ja rekisteröidy <a href=\"#!/register\"> täällä</a>" "E-postadressen som du angett finns inte i systemet.  Var god och registrera dig <a href=\"#!/register\"> här</a>"
"error.equal" "Ei täsmää" "Överensstämmer inte"
"error.illegal-address" "Osoite väärää muotoa" "Adressen i fel form"
"error.illegal-attachment-type" "Liitteen tyyppi ei ole sallittu hakemukselle" "Bilagans typ är inte tillåten i ansökan"
"error.illegal-coordinates" "Virheellinen sijainti" "Felaktig placering"
"error.illegal-email" "Sähköpostiosoite väärää muotoa" "E-postadressen i fel form"
"error.illegal-file-type" "Tiedoston tyyppi ei ole sallittu. Valitse PDF-, kuva-, Microsoft Office-, OpenOffice- tai zip-tiedosto." "Filtypen är inte tillåten. Välj en Pdf-, bild-, Microsoft Office-, OpenOffice- eller zip-fil."
"error.illegal-hetu" "Tarkasta henkilötunnuksen muoto" "Kontrollera personbeteckningens form"
"error.illegal-key" "Tuntematon avain" "Okänd nyckel"
"error.illegal-kiinteistotunnus" "Kiinteistötunnus on 14 numeroa pitkä." "Fastighetsbeteckningen är 14 siffror."
"error.illegal-letter:any" "Anna kirjain" "Ange en bokstav"
"error.illegal-letter:lower" "Anna pieni kirjain" "Ange liten bokstav"
"error.illegal-letter:upper" "Anna iso kirjain" "Ange stor bokstav"
"error.illegal-maaraala-tunnus" "Virheellinen määräalatunnus. Määräalatunnuksessa tulee olla neljä numeroa." "Felaktig beteckning för outbrutet område. Beteckningen för outbrutet område måste ha fyra siffror"
"error.illegal-name" "Sallitut arvot: kirjainmerkit, väliviiva, kauttaviiva, blanko, piste ja *" "Tillåtna värden: bokmärken, mellanslag, snedslag, blanko, punkt och *"
"error.illegal-number" "Virheellinen numero" "Felaktig nummer"
"error.illegal-ovt-tunnus" "Virheellinen OVT-tunnus" "Felaktig EDI-kod"
"error.illegal-rakennusnumero" "Virheellinen rakennusnumero" "Felaktig byggnadsnummer"
"error.illegal-rakennustunnus" "Virheellinen rakennustunnus" "Felaktig byggnadsbeteckning"
"error.illegal-role" "Tuntematon rooli" "Okänd roll"
"error.illegal-subtype" "Tuntematon tietotyyppi" "Okänd uppgiftstyp"
"error.illegal-tel" "Puhelinnumeron muoto on väärä" "Formen på telefonnummern är felaktig"
"error.illegal-value:date" "Päivämäärä annetaan muodossa dd.MM.YYYY (esim. 16.05.2013)" "Datum anges i formen dd.MM.ÅÅÅÅ (t.ex. 16.05.2013)"
"error.illegal-value:not-a-boolean" "Arvo ei ole totuusarvo (true/false)" "Värdet är inte ett sanningsvärde (true/false)"
"error.illegal-value:not-a-map" "Väärä tietorakenne (Map)" "Felaktig datastruktur (Map)"
"error.illegal-value:not-a-string" "Syöte ei ole merkkijono" "Inmatningen är inte en teckenkö"
"error.illegal-value:not-latin1-string" "Arvo sisältää laittomia merkkejä" "Värdet innehåller otillåtna tecken"
"error.illegal-value:required" "Arvo on pakollinen" "Värdet är obligatoriskt"
"error.illegal-value:select" "Arvo ei ole sallitusta arvojoukosta" "Värdet är inte från värdegruppen tillåtna"
"error.illegal-value:time" "Kellonaika annetaan muodossa hh:mm (esim. 8:00 tai 16:00)" "Klockslaget anges i formen hh:mm (t.ex. 8:00 eller 16:00)"
"error.illegal-value:too-long" "Liian pitkä arvo" "För långt värde"
"error.illegal-value:too-short" "Liian lyhyt arvo" "För kort värde"
"error.illegal-y-tunnus" "Y-tunnus on väärää muotoa" "FO-nummern är i fel form"
"error.illegal-zip" "Postinumero on virheellinen" "Postnummern är felaktig"
"error.integration.krysp-version-missing" "Siirto epäonnistui. Organisaatiollesi määritelty Krysp-versio puuttuu. Ota yhteyttä palvelun kehittäjiin, tuki@lupapiste.fi." "Flyttningen misslyckades. Krysp-versionen som definierats för din organisation saknas. Tag kontakt med tjänstens upprätthållare, tuki@lupapiste.fi."
"error.integration.krysp-version-wrong-form" "Siirto epäonnistui. Organisaatiollesi määritelty Krysp-versio on vääränmuotoinen. Ota yhteyttä palvelun kehittäjiin, tuki@lupapiste.fi." "Flyttningen misslyckades. Krysp-versionen som definierats för din organisation är av fel form. Tag kontakt med tjänstens upprätthållare, tuki@lupapiste.fi."
"error.integration.send" "Siirto epäonnistui. Tarkista että kaikki pakolliset tiedot on täytetty. Alla tekninen virheilmoitus:" "Flyttningen misslyckades. Kontrollera att alla obligatoriska uppgifter har flyttats. Teknisk felanmälan nedan:"
"error.invalid-command" "Tuntematon komento" "Okänt kommando"
"error.invalid-db-key" "Tunnus ei saa sisältää pisteitä tai $-merkkejä" "Användar-ID:t får inte innehålla punkter eller $-tecken"
"error.invalidOVT" "Virheellinen OVT-tunnus" "EDI-kod"
"error.invalid-property-id" "Tarkasta kiinteistötunnus" "Kontrollera fastighetsbeteckning"
"error.invalid-response" "Virheellinen vastaus" "Felaktigt svar"
"error.invalid-role" "Luotavalla käyttäjällä tuntematon rooli" "Skapad användaren har okänd roll"
"error.invalid-task-type" "Toiminto ei ole käytössä tämän tyyppiselle vaatimukselle" "Funktionen ej i bruk för denna typ av krav"
"error.invalid-type" "Tuntematon komennon tyyppi" "Okänd kommandotyp"
"error.invalid-vetuma-user" "Virheellinen Vetuma-kirjautuminen" "Felaktig inloggning i Vetuma"
"error.invalidY" "Virheellinen Y-tunnus" "Felaktig FO-nummer"
"error.jatkolupa-can-only-be-added-one-link-permit" "Jatkoluvalla voi olla vain yksi viitelupa" "Förlängningstillstånd kan ha bara ett referenstillstånd"
"error.kopiolaitos-print-order-invalid-parameters-content" "Lupakuvien tilaaminen epäonnistui. Tilauksen tietosisältö oli virheellistä muotoa." "Beställning av lovritningar misslyckades. Formen av datainnehåll i beställning är felaktig."
"error.kuntalupatunnus-not-available-from-verdict" "Viiteluvan kuntalupatunnuksen hakeminen epäonnistui." "Hämtningen av referenstillståndets kommuntillståndsbeteckning misslyckades."
"error.link-permit-already-having-us-as-link-permit" "Et voi lisätä hakemusta viitteeksi hankkeelle, joka jo viittaa linkitettävään hakemukseen. Jos haluat muuttaa viitelinkityksen suuntaa, poista ensin vanha linkitys." "Du kan inte lägga till ansökan som referens till projekt, som redan refererar till ansökan som skall länkas. Om du vill ändra riktningen av referenslänkning, ta först bort den gamla länkningen."
"error.link-permit-app-not-in-post-sent-state" "Viitelupahakemusta ei ole vielä siirretty taustajärjestelmään" "Referenstillståndsansökan kunde inte flyttas till bakgrundssystemet."
"error.link-permit-removal-failed" "Viiteluvan poistaminen epäonnistui" "Borttagning av referenslov mislyckades"
"error.login" "Tunnus tai salasana on väärin." "Fel användarnamn eller lösenord."
"error.login-trottle" "Tunnus on lukittu virheellisten kirjautumisyritysten vuoksi kolmeksi tunniksi. Unohtuneen salasanan uusiminen poistaa lukituksen." "Användaridentifikation är låst till följd av felaktiga inloggningsförsök för tre timmar.  Låsning tas bort när glömt lösenord förnyas."
"error.lupapiste-application-already-exists-but-unauthorized-to-access-it" "Kyseisellä tunnuksella on jo luotu Lupapisteeseen hanke, mutta sinulla ei ole oikeuksia siihen." "Projekt med ifrågavarande beteckning är redan skapad i Lupapiste, men du har inga rättigheter till det."
"error.map-parameters-with-required-keys" "Objektin tiedot olivat puutteelliset" "Uppgifter på objektet är bristfälliga"
"error.maxLength" "Maksimipituus kentälle on {0}" "Fältets maximilängd är {0}"
"error.minLength" "Minimipituus kentälle on {0}" "Fältets minimilängd är {0}"
"error.missing-parameters" "Täytä kaikki pakolliset kentät" "Fyll i alla obligatoriska fält"
"error.missing-required-key" "Virheellinen sähköpostiosoite" "Felaktig e-postadress"
"error.more-prev-app-info-needed" "Tarvitaan lisätietoja, jotta aiemmasta luvasta voidaan luoda hakemus Lupapisteeseen" "Tilläggsuppgifter behövs för att skapa ansökan i Lupapiste från tidigare tillstånd."
"error.no-legacy-available" "Kunta ei tue tietojen lataamista" "Kommunen stöder inte laddningen av uppgifterna"
"error.non-boolean-parameters" "Parametrit eivät ole Boolean-tyyppiä" "Parametrarna är inte av boolesk typ"
"error.non-vector-parameters" "Parametrit eivät ole vektorityyppiä" "Parametrarna är inte av vektortyp"
"error.no-previous-permit-found-from-backend" "Annetulla lupatunnuksella ei löytynyt lupaa taustajärjestelmästä" "Inget tillstånd hittades i bakgrundssystemet med givna tillståndsbeteckning."
"error.not-authority" "Käyttäjä ei ole viranomainen" "Användaren är inte en myndighet"
"error.not-foreman-app" "Työnjohtajatietoja ei löydy!" "Arbetsledaruppgifter hittas inte!"
"error.not-submittable.foreman-link" "Viitteenä oleva lupahakemus täytyy jättää ennen työnjohtajan nimeämistä." "Som referens varande tillståndsansökan måste lämnas före utnämning av arbetsledare."
"error.number" "Syötä numero" "Mata in siffra"
"error.password" "Salasana on väärin" "Lösenordet är felaktigt"
"error.password.minlength" "Pituus vähintään 8 merkkiä" "Minst antal tecken 8"
"error.permit-must-have-link-permit" "Hakemuksesi vaatii viitteenä alkuperäisen luvan. Voit lisätä viittauksen \"lisää viitelupa\"-painikkeella." "Din ansökan kräver det ursprungliga tillståndet som referens. Du kan lägga till referensen genom att klicka på \"lägg till referens\"-knappen."
"error.pre-verdict-attachment" "Hakemuksen aikaista liitettä ei saa muokata" "Bilaga från ansökningstiden får inte ändras"
"error.previous-permit-found-from-backend-is-of-different-organization" "Syöttämääsi lupatunnusta ei löydy valitusta kunnasta. Ole hyvä ja tarkista valitsemasi lupatunnus ja kunta." "Tillståndsbeteckning du angett hittas inte i den valda kommunen. Var så god och kontrollera tillståndsbeteckning och kommun du har valt."
"error.property-in-other-muinicipality" "Kiinteistö ei ole valitun kunnan alueella" "Fastigheten finns inte inom den valda kommunens område"
"error.required" "Kenttä on pakollinen" "Fältet är obligatoriskt"
"error.select-file" "Valitse tiedosto" "Välj fil"
"error.sending-unsent-attachments-failed" "Liitteiden lähetys epäonnistui" "Sändning av bilagor olyckades"
"error.sftp.user.does.not.exist" "Hakemusta ei voitu siirtää taustajärjestelmään. Kohdehakemisto puuttuu. Alla tekninen virheilmoitus:" "Ansökan kunde inte flyttas till bakgrundssystemet. Målkatalog saknas. Teknisk felmeddelande nedan:"
"error.task-not-found" "Vaatimusta ei löydy" "Kravet hittas inte"
"error.token-not-found" "Kutsusi ei ole enää voimassa." "Din inbjudan är inte längre i kraft."
"error.unauthorized" "Ei käyttöoikeutta. Kirjaudu ulos ja yritä uudelleen." "Saknar användarrättighet. Logga ut och försök på nytt."
"error.unknown" "Odottamaton virhe" "Oväntat fel"
"error.unknown-building" "Rakennuksen tietoja ei löydy" "Uppgifterna om byggnaden hittades ej"
"error.unknown-organization" "Tuntematon organisaatio" "Okänd organisation."
"error.unknown-type" "Tuntematon tietotyyppi" "Okänd datatyp"
"error.user.not.found" "Käyttäjää ei löydy" "Användaren hittas inte"
"error.user-not-found" "Käyttäjän tietoja ei löydy" "Användaruppgifterna kan inte hittas"
"error.validator" "Validointivirhe" "Valideringsfel"
"error.vector-parameters-with-blank-items" "Listassa puuttuvia arvoja" "Värden som saknas på listan"
"error.vector-parameters-with-items-missing-required-keys" "Listan tiedot olivat puutteelliset" "Uppgifter på listan är bristfälliga"
"error.vrk:BR113" "Pien- tai rivitalossa saa olla korkeintaan 3 kerrosta" "I ett små- eller radhus får det finnas högst 3 våningar"
"error.vrk:BR319:julkisivu" "Julkisivumateriaali on pakollinen" "Fasadmaterial är obligatoriskt"
"error.vrk:BR319:lammitystapa" "Jos rakennetaan uutta rakennusta , ovat kantavien rakenteiden rakennusaine, rakennuksen rakentamistapa, julkisivumateriaali ja lämmitystapa pakollisia Huom.! Kuitenkin, jos käyttötarkoitus on > 729 saavat pääasiallinen julkisivumateriaali ja lämmitystapa puuttua." "Om man bygger en ny byggnad, är de bärande konstruktionernas byggnadsmaterial, byggnadens byggnadssätt, fasadmaterial och uppvärmningssätt obligatoriska Obs! Om användningsändamålet dock är > 729 får det huvudsakliga fasadmaterialet och uppvärmningssättet saknas."
"error.vrk:BR407" "Jos rakennetaan uutta rakennusta, niin tilavuuden on oltava 1,5 kertaa kokonaisala" "Om man bygger en ny byggnad, bör volymen vara 1,5 gånger totala ytan"
"error.vrk:CR312" "Jos rakennetaan myymälähallia tai teollisuushallia, on kerrosluvun oltava 1" "Om man bygger en butikshall eller industrihall bör våningsantalet vara 1"
"error.vrk:CR313" "Jos rakennetaan uutta rakennusta, niin tilavuuden on oltava 1,5 kertaa kerrosala" "Om man bygger en ny byggnad, bör volymen vara 1,5 gånger totala ytan"
"error.vrk:CR314" "Asuinrakennuksessa pitää olla lämmitys" "Det måste finnas uppvärmning i bostadsbyggnaden"
"error.vrk:CR315" "Omakotitalossa pitää olla tasan yksi huoneisto" "I ett egnahemshus bör det finnas exakt en lägenhet"
"error.vrk:CR316" "Paritalossa pitää olla kaksi uutta huoneistoa" "I ett parhus bör det finnas två nya lägenheter"
"error.vrk:CR317" "Rivi- tai kerrostaloissa tulee olla vähintään kolme uutta huoneistoa" "I ett rad- eller våningshus bör det finnas minst tre nya lägenheter"
"error.vrk:CR319" "Jos rakennetaan uutta rakennusta ja käyttötarkoitus on luhtitaloa tai asuinkerrostaloa, on kerrosluvun oltava vähintään 2" "Om man bygger en ny byggnad och användningsändamålet är ett lofthus eller bostadsvåningshus, bör våningsantalet vara minst 2"
"error.vrk:CR320" "Jos kyseessä on erillistalo, rivitalo tai ketjutalo, on kerrosluvun oltava välillä 1 – 4" "Om det är frågan om ett fristående hus, radhus eller kedjehus, bör våningsantalet vara mellan 1-4"
"error.vrk:CR322" "Uuden rakennuksen kokonaisalan oltava vähintään huoneistoala" "En ny byggnads totala yta bör vara minst en lägenhetsyta"
"error.vrk:CR324" "Sähkö polttoaineena vaatii varusteeksi sähkön" "El som bränsle kräver el som utrustning"
"error.vrk:CR326" "Kokonaisalan oltava vähintään kerrosala" "Totalytan bör vara minst en våningsyta"
"error.vrk:CR327" "Tilavuus ylittää rakennuksen käyttötarkoituksen mukaisen maksimitilavuuden" "Volymen överskider maxvolymen för byggnadens användningsändamål."
"error.vrk:CR328:sahko" "Sähköliittymä vaatii varusteeksi sähkön" "En elanslutning kräver el som utrustning"
"error.vrk:CR328:vesijohto" "Vesiliittymä vaatii varusteeksi vesijohdon" "En vattenanslutning kräver en vattenledning som utrustning"
"error.vrk:CR328:viemari" "Viemäriliittymä vaatii varusteeksi viemärin" "En avloppsanslutning kräver ett avlopp som utrustning"
"error.vrk:CR330" "Rakennus ei saa olla yli 150 metriä korkea" "Byggnaden får ej vara över 150 meter hög"
"error.vrk:CR333:kerrosala" "Kerrosala on pakollinen tässä käyttötarkoituksessa" "Våningsyta är obligatorisk i detta användningssyfte"
"error.vrk:CR333:kerrosluku" "Kerrosluku on pakollinen tässä käyttötarkoituksessa" "Antal våningar är obligatoriskt i detta användningssyfte"
"error.vrk:CR333:kokonaisala" "Kokonaisala on pakollinen tässä käyttötarkoituksessa" "Total areal är obligatorisk i detta användningssyfte."
"error.vrk:CR333:tilavuus" "Tilavuus on pakollinen tässä käyttötarkoituksessa" "Volymen är obligatorisk i detta användningssyfte."
"error.vrk:CR335" "Jos lämmitystapa ei ole \"ei kiinteää lämmityslaitetta\", on polttoaine ilmoitettava" "Om uppvärmningssättet inte är \"ej fast uppvärmningsapparat\", bör bränslet meddelas"
"error.vrk:CR340" "Asuinrakennuksessa kerrosalan on oltava vähintään 7 neliötä" "I en bostadsbyggnad bör våningsytan vara minst 7 kvadrat."
"error.vrk:CR341" "Sähkölämmitys vaatii sähköliittymän" "Eluppvärmning kräver en elanslutning"
"error.vrk:CR342" "Sähkö polttoaineena vaatii sähköliittymän" "El som bränsle kräver en elanslutning"
"error.vrk:CR343" "Jos lämmitystapa on sähkölämmitys, on polttoaineen oltava sähkö" "Om uppvärmningssättet är elvärme, måste bränslet vara el."
"footer.conversation.desc" "Hankkeen oman sivun oikeassa reunassa on KESKUSTELU-toiminto luvanhakijan, muiden osapuolten ja viranomaisen kesken." "I högra sidan av projekts egen sida ligger DISKUSSION-funktion mellan tillståndssökande, andra parter och myndigheten."
"footer.conversation.title" "Hankekohtainen neuvonta" "Projektvis rådgivning"
"footer.feedback" "Anna palautetta" "Skicka oss respons"
"footer.license" "Lisenssit" "Licenser"
"footer.register" "Rekisteriseloste" "Registerbeskrivning"
"footer.sade" "Palvelu on osa Valtiovarainministeriön koordinoimaa ja Ympäristöministeriön toteuttamaa Sähköisen asioinnin ja demokratian vauhdittamisohjelmaa (SADe-ohjelma" "Servicen är en del av programmet för påskyndande av elektronisk ärendehantering och demokrati (SADe-programmet) som  finansministeriet koordinerar."
"footer.tel" "Puh." "Tel."
"footer.terms" "Käyttöehdot" "Användningsvillkor"
"forbidden" "Toiminto ei ole sallittu" "Åtgärden är inte tillåten"
"foreman" "Työnjohtaja" "Arbetsledare"
"foreman.role" "Työnjohtajan rooli" "Rollen av arbetsledare"
"foreman.task.missing.title" "Työnjohtajaa ei ole vielä nimetty" "Arbetsledaren är inte ännu utnämnd"
"foreman.task.new.title" "Työnjohtaja kutsuttu" "Arbetsledaren är inbjuden"
"foreman.task.ok.title" "Työnjohtaja nimetty" "Arbetsledaren är utnämnd"
"form.err" "Virhe tallennuksessa" "Gick inte att spara"
"form.saved" "Tallennettu" "Sparad"
"form.warn" "Virheellinen arvo" "Felaktigt värde"
"front-page" "Etusivu" "Ingångssida"
"hakijan-tiedot" "Hakijan tiedot" "Den sökandes uppgifter"
"hankkeen-kuvaus._group_label" "Hankkeen kuvaus" "Projektbeskrivning"
"hankkeen-kuvaus.kuvaus" "Selostus rakennushankkeesta tai toimenpiteestä" "Redogörelse för byggnadsprojektet eller åtgärd"
"hankkeen-kuvaus.poikkeamat" "Poikkeamiset säännöksistä perusteluineen" "Avvikelse från bestämmelserna med motiveringar"
"help" "Ohje" "Anvisning"
"help.AddForeman" "Työnjohtaja ilmoitetaan aina erillisellä ilmoituksella.<br/>Paina alla olevaan painiketta, jos haluat ilmoittaa työnjohtajan jo lupahakemuksen yhteydessä." "Arbetsledaren meddelas alltid med en separat anmälan.<br/>Tryck knappen nedan, om du vill meddela arbetsledare redan i samband med tillståndsansökan."
"help.AddPermit" "Valitsemasi toimenpiteen täytyy liittyä aikaisempaan lupaan. Lisää aikaisempi lupa viiteluvaksi alla olevalla napilla." "Den valda åtgärden måste höra till ett tidigare tillstånd. Lägg till det tidigare tillståndet som refernstillstånd med knappen nedan."
"help.KM.applicationSummaryDesc" "Tällä välilehdellä näet hankkeeseesi liittyvät hakemuksen aikaiset tiedot." "Under denna flik ser du uppgifter från ansökans tid i anslutninng  till ditt projekt"
"help.KM.attachmentsDesc" "Tänne voit lisätä hakemukseen kuuluvia liitteitä. Viranomainen voi myös pyytää sinulta tarpeellisia liitteitä. Nämä pyynnöt ja korjauksia vaativat liitteet merkitään taulukossa punaisella lipulla. Viranomainen voi myös merkitä liitteen <b>alustavasti hyväksytyksi tai korjattavaksi. Tämä ei ole vielä virallinen hyväksyntä, sillä sitä varten hakemus pitää käsitellä kunnan päätöksentekoprosessin mukaisesti</b>." "Här kan du lägga till bilagor som hör till ansökan. Myndigheten kan också be om nödvändiga bilagor. Dessa begärda bilagor och bilagor som kräver komplettering markeras i tabellen med röd flagga. Myndigheten kan också markera bilagan som  <b>preliminärt godkänd eller i behov av korrigering. Detta är inte ännu ett officiellt godkännande, eftersom ett sådant kräver att ansökan hanteras enligt kommunens beslutsfattningsprocess</b>."
"help.KM.conversationDesc" "Täällä voit keskustella hakemuksesta viranomaisten ja valtuutettujen kanssa. \"Kysy viranomaiselta\" - toiminnolla kutsut viranomaisen vastaamaan kysymykseesi. Tällöin viranomainen näkee hakemuksesi ja voi vastata esittämiisi kysymyksiin. Näin voitte yhdessä valmistella hakemusta ennen sen jättämistä." "Här kan du diskutera ansökan med myndigheterna och de bemyndigade parterna.  Med \"Fråga myndigheten\" -funktionen ber du myndigheten att svara på din fråga. Därmed kan myndigheten se din ansökan och svara på frågorna du ställt. På detta vis kan ni tillsammans förbereda ansökan för inlämning."
"help.KM.helpText" "Lupapisteessä voit valmistella hakemusta rauhassa viranomaisten kanssa. Voit kutsua suunnittelijan, työnjohtajan ja mahdolliset muut hakijat mukaan \"Osapuolet\"  - välilehdellä. Viranomaiselta voit kysyä neuvoa \"Keskusteluketju\"  - välilehdeltä. Kun olette saaneet hakemuksen valmiiksi, voit jättää sen painamalla \"Jätä hakemus\". Tällöin hakemuksesi katsotaan tulleen virallisesti vireille. Tämän jälkeen viranomainen tarkistaa hakemuksen ja pyytää tarvittaessa täydennyksiä. Kun hakemus on viranomaisen kannalta valmis, hän ottaa hakemuksen käsittelyyn kunnan päätöksenteko järjestelmään. Hakemuksen tila on tällöin \"Käsittelyssä\", etkä voi enää muokata hakemusta. Viranomaisen tehtyä päätöksen näet päätös otteen \"Päätös\" - välilehdellä ja saat siitä myös tiedon sähköpostiisi." "I Lupapiste kan du i lugn och ro förbereda ansökan tillsammans med myndigheten. Du kan bjuda in planeraren, arbetsledaren och möjliga andra sökande under ”Parter” – fliken. Under fliken \"Diskussionstråd\" kan du fråga myndigheten om råd.  När ansökan är färdig kan du lämna in den genom att klicka på ”Lämna ansökan”. Då anses din ansökan officiellt ha anhängiggjorts. Efter detta granskar myndigheten ansökan och ber vid behov om kompletteringar. När myndigheten anser att ansökan är färdig tas den upp för behandling i kommunens beslutfattningssystem. Ansökans status ändras då till ”Behandlas” och du kan inte redigera ansökan mer. Efter att myndigheten fattat ett beslut syns beslutet i fliken ”Beslut”. Denna information skickas också till din e-post."
"help.KM.statementsDesc" "Viranomainen voi tarvittaessa pyytää hakemuksesta <b> lausuntoja muilta viranomaisilta</b>. Viranomaisten antamia lausuntoja voit lukea tällä välilehdellä." "Myndigheten kan vid behov be <b> andra myndigheter ge sitt utlåtande</b> om ansökan. Myndigheternas utlåtanden kan du läsa under denna flik"
"help.KM.tasksDesc" "Tällä välilehdellä näet luvan edellyttämät toiminnan aikaiset kokoukset, katselmukset ja tarkastukset sekä muut lupavaatimukset." "Under denna flik ser du möten, syner och inspektioner från verksamhets tid som tillståndet förutsätter samt andra tillståndsbestämmelser."
