"key" "fi" "sv"
"attachmentType.muut.selvitys_rakennuspaikan_terveellisyydesta.info" "Jos hankkeessa määräysten nojalla vaaditaan" "Om krävs i projektet med stöd av bestämmelser"
"attachmentType.muut.selvitys_rakenteiden_kokonaisvakavuudesta_ja_lujuudesta" "Selvitys rakenteiden kokonaisvakavuudesta ja lujuudesta" "Utredning över konstruktionernas stabilitet och hållfasthet"
"attachmentType.muut.selvitys_rakenteiden_kokonaisvakavuudesta_ja_lujuudesta.info" "Jos hankkeessa määräysten nojalla vaaditaan" "Om krävs i projektet med stöd av bestämmelser"
"attachmentType.muut.selvitys_sisailmastotavoitteista_ja_niihin_vaikuttavista_tekijoista" "Selvitys sisäilmastotavoitteista ja niihin vaikuttavista tekijöistä" "Utredning över målsättningen för inomhusklimatet och därpå inverkande omständigheter"
"attachmentType.muut.selvitys_sisailmastotavoitteista_ja_niihin_vaikuttavista_tekijoista.info" "Jos hankkeessa määräysten nojalla vaaditaan" "Om krävs i projektet med stöd av bestämmelser"
"attachmentType.muut.selvitys_suuronnettomuuden_vaaran_arvioimiseksi" "Selvitys suuronnettomuuden vaaran arvioimiseksi" "Utredning för värdering av fara för en storolycka"
"attachmentType.muut.selvitys_suuronnettomuuden_vaaran_arvioimiseksi.info" "Selvitys suuronnettomuuden vaaran arvioimiseksi vaarallisten kemikaalien käsittelyn ja varastoinnin valvonnasta annetussa asetuksen (855/2012) mukaisesti" "Utredning för värdering av fara för en storolycka enligt förordning om hantering och upplagring av farliga kemikalier (855/2012)"
"attachmentType.muut.selvitys_tieyhteyksista_oikeuksista" "Selvitys tieyhteyksistä ja -oikeuksista" "Utredning över vägförbindelser och vägrätt"
"attachmentType.muut.selvitys_tieyhteyksista_oikeuksista.info" "Jos hankkeessa määräysten nojalla vaaditaan" "Om krävs i projektet med stöd av bestämmelser"
"attachmentType.muut.selvitys_tontin_tai_rakennuspaikan_pintavesien_kasittelysta" "Selvitys tontin tai rakennuspaikan pintavesien käsittelystä" "Utredning över behandlingen av tomtens eller byggplatssens ytvatten"
"attachmentType.muut.selvitys_tontin_tai_rakennuspaikan_pintavesien_kasittelysta.info" "Jos hankkeessa määräysten nojalla vaaditaan" "Om krävs i projektet med stöd av bestämmelser"
"attachmentType.muut.sopimusjaljennos" "Sopimusjäljennös" "Kopia av avtal"
"attachmentType.muut.sopimusjaljennos.info" "Jos on tarve toimittaa sopimusjäljennös" "Om det finns behov att leverera en avtalskopia"
"attachmentType.muut.suunnitelma_paloilmoitinjarjestelmista_ja_koneellisesta_savunpoistosta" "Suunnitelma paloilmoitinjärjestelmistä ja koneellisesta savunpoistosta" "Plan över brandvarnaranläggning och maskinell rökevakuering"
"attachmentType.muut.suunnitelma_paloilmoitinjarjestelmista_ja_koneellisesta_savunpoistosta.info" "Jos hankkeessa määräysten nojalla vaaditaan" "Om krävs i projektet med stöd av bestämmelser"
"attachmentType.muut.turvallisuusselvitys" "Turvallisuusselvitys" "Säkerhetsredovisning"
"attachmentType.muut.turvallisuusselvitys.info" "Aina, jos kyseessä on sairaala tai hoitolaitos. Muissa hankkeissa harkinnan mukaan" "Alltid, om det är fråga om sjukhus eller vårdinrättning"
"attachmentType.muut.vaestonsuojasuunnitelma" "Väestönsuojasuunnitelma" "Plan för befolkningsskyddet"
"attachmentType.muut.vaestonsuojasuunnitelma.info" "Piirustus, jos hanke sisältää uuden tai korjattavan väestönsuojan" "Ritning, om projektet innebär ett nytt skyddsrum eller ett som skall repareras"
"attachmentType.muut.vakuus_ottamisen_aloittamiseksi_ennen_luvan_lainvoimaa" "Vakuus ottamisen aloittamiseksi ennen luvan lainvoimaa" "Ställande av säkerhet när substanser tas innan tillståndet vunnit laga kraft"
"attachmentType.muut.valaistussuunnitelma" "Valaistussuunnitelma" "Plan över belysning"
"attachmentType.muut.valaistussuunnitelma.info" "Jos hankkeessa määräysten nojalla vaaditaan" "Om krävs i projektet med stöd av bestämmelser"
"attachmentType.muut.valokuva" "Valokuva" "Fotografi"
"attachmentType.muut.valokuva.info" "Suunnitelmaan tai toteutukseen liittyvä valokuva" "Foto som anknyter till planen eller utförandet"
"attachmentType.muut.vesi_ja_viemariliitoslausunto_tai_kartta" "Vesi- ja viemäriliitoslausunto tai -kartta" "Utlåtande eller karta  över vatten- och avloppsanslutningar"
"attachmentType.muut.vesi_ja_viemariliitoslausunto_tai_kartta.info" "Jos hankkeessa liitytään olemassa olevaan tai rakenteilla olevaan verkostoon" "Om man i projektet anslutar sig till ett existerande nätverk eller till ett under byggande"
"attachmentType.muut.vesikattopiirustus" "Vesikattopiirustus" "Ritning på yttertak"
"attachmentType.muut.vesikattopiirustus.info" "Jos hankkeessa määräysten nojalla vaaditaan" "Om krävs i projektet med stöd av bestämmelser"
"attachmentType.muut.yhteistilat" "Asuinkerrostalon ja rivitalon yhteistilat" "Gemensamma utrymmen av flervåningshus och radhus"
"attachmentType.muut.yhteistilat.info" "Kun hankkeeseen liittyy asuinkerrostalon tai rivitalon yhteistiloja" "När gemensamma utrymmen av flervåningshus eller radhus anknyter till projektet"
"attachmentType.muut.ympariston_tietomalli_BIM" "Ympäristön tietomalli (BIM)" "Miljöinformationsmodell (BIM)"
"attachmentType.muut.ympariston_tietomalli_BIM.info" "Jos luvanhaussa on sovittu käytettäväksi tietomalleja" "Om man har kommit överens att andvända datamodeller vid lovansökning"
"attachmentType.osapuolet._group_label" "Osapuolten tiedot" "Parternas uppgifter"
"attachmentType.osapuolet.cv" "CV" "CV"
"attachmentType.osapuolet.cv.info" "Jos henkilön pätevyys tulee esittää" "Om persons kompetens måste visas"
"attachmentType.osapuolet.paa_ja_rakennussuunnittelijan_tiedot" "Pää- ja rakennussuunnittelijan tiedot" "Uppgifter om huvud- och byggnadsplaneraren"
"attachmentType.osapuolet.paa_ja_rakennussuunnittelijan_tiedot.info" "Jos ei täytetä suunnittelijan tietoja osapuolet-välilehdellä" "Om planerares uppgifter inte fylls under parter -fliken"
"attachmentType.osapuolet.patevyystodistus" "Pätevyystodistus" "Kompetensbetyg"
"attachmentType.osapuolet.patevyystodistus.info" "Jos henkilön pätevyys tulee esittää" "Om persons kompetens måste visas"
"attachmentType.osapuolet.tutkintotodistus" "Tutkintotodistus" "Examensbetyg"
"attachmentType.osapuolet.tutkintotodistus.info" "Jos henkilön pätevyys tulee esittää" "Om persons kompetens måste visas"
"attachmentType.ottamisalue._group_label" "Ottamisalue" "Täktområde"
"attachmentType.ottamisalue.naapurit" "Luettelo naapuritilojen sijainnista ja yhteystiedoista" "Förteckning över granngårdarnas läge och kontaktuppgifter"
"attachmentType.ottamisalue.ote_alueen_peruskartasta" "Ote alueen peruskartasta" "Utdrag ur områdets grundkarta"
"attachmentType.ottamisalue.ote_asemakaavasta" "Ote asemakaavasta" "Utdrag ur detaljplanen"
"attachmentType.ottamisalue.ote_yleiskaavasta" "Ote yleiskaavasta" "Utdrag ur generalplanen"
"attachmentType.paapiirustus._group_label" "Pääpiirustus" "Huvudritning"
"attachmentType.paapiirustus.asemapiirros" "Asemapiirros" "Situationsplan"
"attachmentType.paapiirustus.asemapiirros.info" "Aina rakennushankkeen yhteydessä" "Alltid vid byggprojekt"
"attachmentType.paapiirustus.julkisivupiirros" "Julkisivupiirros" "Fasadritning"
"attachmentType.paapiirustus.julkisivupiirros.info" "Aina rakennushankkeen yhteydessä" "Alltid vid byggprojekt"
"attachmentType.paapiirustus.leikkauspiirros" "Leikkauspiirros" "Sektionsritning"
"attachmentType.paapiirustus.leikkauspiirros.info" "Aina rakennushankkeen yhteydessä" "Alltid vid byggprojekt"
"attachmentType.paapiirustus.paapiirustus" "Pääpiirustukset" "Huvudritningar"
"attachmentType.paapiirustus.paapiirustus.info" "Silloin kun ei voida selkeästi valita pohja-, julkisivu- tai leikkauspiirustusta, esimerkiksi aitaluvat" "När man inte kan tydligt välja plan-, fasad- eller sektionsritning, t.ex. Inhägnadstillstånd"
"attachmentType.paapiirustus.pohjapiirros" "Pohjapiirros" "Planritning"
"attachmentType.paapiirustus.pohjapiirros.info" "Aina rakennushankkeen yhteydessä" "Alltid vid byggprojekt"
"attachmentType.paapiirustus.yhdistelmapiirros" "Yhdistelmäpiirros" "Kombinationsritning"
"attachmentType.paapiirustus.yhdistelmapiirros.info" "Kun useampia pääpiirroksia on yhdistetty yhteen piirrokseen" "När flera huvudritningar har sammansätts till en ritning"
"attachmentType.paras_tekniikka_kaytanto._group_label" "Paras käyttökelpoinen tekniikka (BAT) ja ympäristön kannalta paras käytäntö (BET)" "Bästa möjliga teknik (BAT) och bästa miljöpraxis (BEP)"
"attachmentType.paras_tekniikka_kaytanto.arvio_kaytannon_soveltamisesta" "Arvio ympäristön kannalta parhaan käytännön (BEP) soveltamisesta" "Bedömning av tillämpning av bästa miljöpraxis  (BEP)"
"attachmentType.paras_tekniikka_kaytanto.arvio_paastojen_vahentamistoimien_ristikkaisvaikutuksista" "Arvio päästöjen vähentämistoimien ristikkäisvaikutuksista" "Bedömning av korsvisa effekter vid åtgärder för att minska utsläppen"
"attachmentType.paras_tekniikka_kaytanto.arvio_tekniikan_soveltamisesta" "Arvio parhaan käyttökelpoisen tekniikan (BAT) soveltamisesta" "Bedömning av användning av bästa möjliga teknik (BAT)"
"attachmentType.rakennuspaikan_hallinta._group_label" "Rakennuspaikan hallinta" "Besittning av byggplatsen"
"attachmentType.rakennuspaikan_hallinta.jaljennos_kauppakirjasta_tai_muusta_luovutuskirjasta" "Jäljennös kauppakirjasta tai muusta luovutuskirjasta" "Kopia av köpebrevet eller annan överlåtelsebehandling"
"attachmentType.rakennuspaikan_hallinta.jaljennos_kauppakirjasta_tai_muusta_luovutuskirjasta.info" "Jos tarvitaan hallinta- tai omistusoikeuden osoittamiseen" "Ifall besittningsrätten behöver styrkas"
"attachmentType.rakennuspaikan_hallinta.jaljennos_myonnetyista_lainhuudoista" "Jäljennös myönnetyistä lainhuudoista" "Kopia av beviljad lagfart"
"attachmentType.rakennuspaikan_hallinta.jaljennos_myonnetyista_lainhuudoista.info" "Jos tarvitaan hallinta- tai omistusoikeuden osoittamiseen" "Ifall besittningsrätten behöver styrkas"
"attachmentType.rakennuspaikan_hallinta.jaljennos_perunkirjasta" "Jäljennös perunkirjasta" "Kopia av bouppteckningen"
"attachmentType.rakennuspaikan_hallinta.jaljennos_perunkirjasta.info" "Jos tarvitaan hallinta- tai omistusoikeuden osoittamiseen" "Ifall besittningsrätten behöver styrkas"
"attachmentType.rakennuspaikan_hallinta.jaljennos_vuokrasopimuksesta" "Jäljennös vuokrasopimuksesta" "Kopia av hyresavtalet"
"attachmentType.rakennuspaikan_hallinta.jaljennos_vuokrasopimuksesta.info" "Jos tarvitaan hallinta- tai omistusoikeuden osoittamiseen" "Ifall besittningsrätten behöver styrkas"
"attachmentType.rakennuspaikan_hallinta.kiinteiston_lohkominen" "Ilmoitus tai hakemus tontin lohkomisesta" "Anmälan eller ansökan om tomtstyckning"
"attachmentType.rakennuspaikan_hallinta.kiinteiston_lohkominen.info" "Jos tonttia ei ole merkitty kiinteistörekisteriin" "Om tomten inte har införts i fastighetsregister"
"attachmentType.rakennuspaikan_hallinta.ote_asunto-osakeyhtion_kokouksen_poytakirjasta" "Ote asunto-osakeyhtiön kokouksen pöytäkirjasta" "Utdrag ur bostadsaktiebolagets mötesprotokoll"
"attachmentType.rakennuspaikan_hallinta.ote_asunto-osakeyhtion_kokouksen_poytakirjasta.info" "Jos tarvitaan hallinta- tai omistusoikeuden osoittamiseen" "Ifall besittningsrätten behöver styrkas"
"attachmentType.rakennuspaikan_hallinta.rasitesopimus" "Rasitesopimus" "Servitutsavtal"
"attachmentType.rakennuspaikan_hallinta.rasitesopimus.info" "Jos hanke edellyttää sopimista edellyttäviä järjestelyitä (rasite tms.)" "Om projektet förutsätter anordingar som förutsätter överenskommande (servitut osv.)"
"attachmentType.rakennuspaikan_hallinta.rasitustodistus" "Rasitustodistus" "Gravationsbevis"
"attachmentType.rakennuspaikan_hallinta.rasitustodistus.info" "Jos kiinteistöön liittyy olemassa olevia rasitteita tai muita vastaavia  järjestelyitä" "Om existerande servitut eller andra liknande anordningar anknyter till fastigheten"
"attachmentType.rakennuspaikan_hallinta.todistus_erityisoikeuden_kirjaamisesta" "Todistus erityisoikeuden kirjaamisesta" "Intyg över inskrivning av en särskild rättighet"
"attachmentType.rakennuspaikan_hallinta.todistus_erityisoikeuden_kirjaamisesta.info" "Jos hankkeeseen liittyy kirjattavia erityisoikeuksia" "Om inskrivna särskilda rättigheter anknyter till projektet"
"attachmentType.rakennuspaikka._group_label" "Rakennuspaikka" "Byggplats"
"attachmentType.rakennuspaikka.kiinteiston_vesi_ja_viemarilaitteiston_suunnitelma" "Kiinteistön vesi- ja viemärilaitteiston suunnitelma" "Plan över fastighetens vatten- och avloppsinstallationer"
"attachmentType.rakennuspaikka.kiinteiston_vesi_ja_viemarilaitteiston_suunnitelma.info" "Jos rakentamiseen liittyy vesi- ja viemärilaitteistoja" "Om vatten- och avloppsutrustningar anknyter till byggandet"
"attachmentType.rakennuspaikka.ote_alueen_peruskartasta" "Ote alueen peruskartasta" "Utdrag ur områdets grundkarta"
"attachmentType.rakennuspaikka.ote_alueen_peruskartasta.info" "Viranomaisen vaatiessa peruskarttaote toimitettava" "Grundkartautdrag måste levereras när myndigheten kräver"
"attachmentType.rakennuspaikka.ote_asemakaavasta_jos_asemakaava_alueella" "Ote asemakaavasta" "Utdrag ur detaljplan"
"attachmentType.rakennuspaikka.ote_asemakaavasta_jos_asemakaava_alueella.info" "Jos hanke on asemakaava-alueella" "Om projektet befinner sig i detaljplanområdet"
"attachmentType.rakennuspaikka.ote_kiinteistorekisteristerista" "Ote kiinteistörekisteristä" "Utdrag ur fastighetsregistret"
"attachmentType.rakennuspaikka.ote_kiinteistorekisteristerista.info" "Viranomaisen vaatiessa kiinteistörekisteriote toimitettava" "Fastighetsregisterutdrag måste levereras om myndigheten kräver"
"attachmentType.rakennuspaikka.ote_ranta-asemakaavasta" "Ote ranta-asemakaavasta" "Utdrag ur strandgeneralplanen"
"attachmentType.rakennuspaikka.ote_ranta-asemakaavasta.info" "Jos hanke on ranta-asemakaava-alueella" "Om projektet befinner sig i stranddetaljplanområdet"
"attachmentType.rakennuspaikka.ote_yleiskaavasta" "Ote yleiskaavasta" "Utdrag ur generalplanen"
"attachmentType.rakennuspaikka.ote_yleiskaavasta.info" "Jos hanke on yleiskaava-alueella" "Om projektet befinner sig i generalplanområdet"
"attachmentType.rakennuspaikka.perustamistapalausunto" "Perustamistapalausunto" "Utlåtande om grundläggningssätt"
"attachmentType.rakennuspaikka.perustamistapalausunto.info" "Aina uudisrakennushankkeessa" "Alltid vid nybyggnadsprojekt"
"attachmentType.rakennuspaikka.rakennusoikeuslaskelma" "Rakennusoikeuslaskelma" "Byggrättsberäkning"
"attachmentType.rakennuspaikka.rakennusoikeuslaskelma.info" "Jos kiinteistöllä on olemassa olevaa rakennuskantaa" "Om fastigheten har existerande byggnadsbestånd"
"attachmentType.rakennuspaikka.selvitys_rakennuspaikan_perustamis_ja_pohjaolosuhteista" "Selvitys rakennuspaikan perustamis-  ja pohjaolosuhteista" "Utredning om byggplatssen grundläggnings- och grundbottenförhållanden"
"attachmentType.rakennuspaikka.selvitys_rakennuspaikan_perustamis_ja_pohjaolosuhteista.info" "Selvitys rakennuspaikan perustamis-  ja pohjaolosuhteista. Aina uudisrakennushankkeessa." "Redovisning om byggplatsens grundläggnings-och grundomständigheter"
"attachmentType.rakennuspaikka.tonttikartta_tarvittaessa" "Tonttikartta" "Tomtkarta"
"attachmentType.rakennuspaikka.tonttikartta_tarvittaessa.info" "Viranomaisen vaatiessa tonttikartta toimitettava" "Tomtkartan måste levereras när myndigheten kräver"
"attachmentType.rakentamisen_aikaiset._group_label" "Rakentamisen aikaiset" "Under byggandet"
"attachmentType.rakentamisen_aikaiset.erityissuunnitelma" "Erityissuunnitelma" "Specialplan"
"attachmentType.rakentamisen_aikaiset.erityissuunnitelma.info" "Hankkeeseen liittyvä erityissuunnitelma" "Specialplan som anknyter till projektet"
"attachmentType.tarkkailu_raportointi._group_label" "Tarkkailu ja raportointi" "Observation och rapportering"
"attachmentType.tarkkailu_raportointi.kayttotarkkailu" "Käyttötarkkailu" "Användningsobservation"
"attachmentType.tarkkailu_raportointi.mittausmenetelmat_laitteet_laskentamenetelmat_laadunvarmistus" "Mittausmenetelmät ja -laitteet, laskentamenetelmät sekä niiden laadunvarmistus" "Mätningsmetoder och mätningsinstrument, beräkningsmetoder samt deras kvalitetssäkring"
"attachmentType.tarkkailu_raportointi.paastotarkkailu" "Päästötarkkailu" "Utsläppsobservation"
"attachmentType.tarkkailu_raportointi.raportointi_tarkkailuohjelmat" "Raportointi ja tarkkailuohjelmat" "Rapportering och observationsprogram"
"attachmentType.tarkkailu_raportointi.vaikutustarkkailu" "Vaikutustarkkailu" "Observation av inverkan"
"attachmentType.vahinkoarvio_estavat_toimenpiteet._group_label" "Vahinkoarvio ja vahinkoa estävät toimenpiteet sekä korvaukset" "Bedömning av skador och skadeförebyggande åtgärder samt ersättningar"
"attachmentType.vahinkoarvio_estavat_toimenpiteet.korvausestiys_vesistoon_kohdistuvista_vahingoista" "Korvausesitys vesistöön kohdistuvista vahingoista" "Ersättningsförslag för skador som drabbar vattendrag"
"attachmentType.vahinkoarvio_estavat_toimenpiteet.toimenpiteet_muiden_kuin_vesistovahinkojen_ehkaisemiseksi" "Toimenpiteet muiden kuin vesistövahinkojen ehkäisemiseksi" "Åtgärder för att förebygga andra skador än sådana som drabbar vattendrag"
"attachmentType.vahinkoarvio_estavat_toimenpiteet.toimenpiteet_vesistoon_kohdistuvien_vahinkojen_ehkaisemiseksi" "Toimenpiteet vesistöön kohdistuvien vahinkojen ehkäisemiseksi" "Åtgärder för att förebygga skador på vattendragen"
"attachmentType.vaikutukset_ymparistoon._group_label" "Vaikutukset ympäristöön" "Inverkan på miljön"
"attachmentType.vaikutukset_ymparistoon.arvio_ilmaan_joutuvien_paastojen_vaikutuksista" "Arvio ilmaan joutuvien päästöjen vaikutuksista" "Bedömning av inverkan av utsläppen i luften"
"attachmentType.vaikutukset_ymparistoon.arvio_melun_tarinan_vaikutuksista" "Arvio melun ja tärinän vaikutuksista" "Bedömning av bullrets och vibrationernas inverkan"
"attachmentType.vaikutukset_ymparistoon.arvio_vaikutuksista_luontoon_luonnonsuojeluarvoihin_rakennettuun_ymparistoon" "Arvio vaikutuksista luontoon ja luonnonsuojeluarvoihin sekä rakennettuun ympäristöön" "Bedömning av inverkan på miljön och miljöskyddsvärden samt den byggda miljön"
"attachmentType.vaikutukset_ymparistoon.arvio_vaikutuksista_maaperaan_pohjaveteen" "Arvio vaikutuksista maaperään ja pohjaveteen" "Bedömning av inverkan på marken och grundvattnet"
"attachmentType.vaikutukset_ymparistoon.arvio_vaikutuksista_vesistoon_sen_kayttoon" "Arvio vaikutuksista vesistöön ja sen käyttöön" "Bedömning av inverkan på vattendrag och användningen av det"
"attachmentType.vaikutukset_ymparistoon.arvio_vaikutuksista_yleiseen_viihtyvyyteen_ihmisten_terveyteen" "Arvio vaikutuksista yleiseen viihtyvyyteen ja ihmisten terveyteen" "Bedömning av inverkan på den allmänna trivseln och människornas hälsa"
"attachmentType.vaikutukset_ymparistoon.arvio_ymparistovaikutuksista" "Arvio ympäristövaikutuksista" "Bedömning av miljökonsekvenser"
"attachmentType.yleiset-alueet._group_label" "Yleisten alueiden luvat" "Tillstånd för allmänna områden"
"attachmentType.yleiset-alueet.aiemmin-hankittu-sijoituspaatos" "Aiemmin hankittu sijoituspäätös" "Placeringsbeslut som skaffats tidigare"
"attachmentType.yleiset-alueet.aiemmin-hankittu-sijoituspaatos.info" "Jos hankkeeseen liittyy sijoituspäätös tai -sopimus, jota ei ole haettu Lupapisteessä" "Om placeringsbeslut eller -avtal, som inte ansökt i Lupapiste, anknyter till projektet"
"attachmentType.yleiset-alueet.asemapiirros" "Asemapiirros" "Situationsplan"
"attachmentType.yleiset-alueet.asemapiirros.info" "Jos asemapiirrosta ei ole kuvattu Lupapisteen kartalla tai viranomainen vaatii erillisenä" "Om situationsplan är inte beskrivit på Lupapiste kartan eller myndigheten kräver som separat"
"attachmentType.yleiset-alueet.liitoslausunto" "Liitoslausunto" "Utlåtande om anslutningspunkt"
"attachmentType.yleiset-alueet.liitoslausunto.info" "Jos hankkeessa liitytään olemassa olevaan tai rakennettavaan verkostoon" "Om man i projektet anslutar sig till ett existerande nätverk eller till ett under byggande"
"attachmentType.yleiset-alueet.muu" "Muu asiakirja" "Annan dokument"
"attachmentType.yleiset-alueet.muu.info" "Mikä tahansa muu hankkeeseen liittyvä asiakirja" "Vilken som helst annat dokument som anknyter till projektet"
"attachmentType.yleiset-alueet.poikkileikkaus" "Poikkileikkaus" "Tvärsnitt"
"attachmentType.yleiset-alueet.poikkileikkaus.info" "Jos kunnan ohjeistuksessa vaaditaan poikkileikkauspiirros" "Om det krävs en tvärsektionsritning i kommunens anvisningar"
"attachmentType.yleiset-alueet.rakennuspiirros" "Rakennuspiirros" "Byggnadsritning"
"attachmentType.yleiset-alueet.rakennuspiirros.info" "Jos hankkeeseen liittyy rakennuksia tai rakennelmia" "Om byggnader eller konstruktioner anknyter till projektet"
"attachmentType.yleiset-alueet.suunnitelmakartta" "Suunnitelmakartta" "Plankarta"
"attachmentType.yleiset-alueet.suunnitelmakartta.info" "Jos työn suunnitelmaa ei ole kuvattu Lupapisteen kartalla tai viranomainen vaatii erillisenä" "Om planen av arbetet har inte beskrivits på Lupapiste kartan eller myndigheten kräver som separat"
"attachmentType.yleiset-alueet.tieto-kaivupaikkaan-liittyvista-johtotiedoista" "Tieto kaivupaikkaan liittyvistä johtotiedoista" "Information om kabeluppgifter som gäller grävplatsen"
"attachmentType.yleiset-alueet.tieto-kaivupaikkaan-liittyvista-johtotiedoista.info" "Aina sijoittamiseen ja kaivamiseen liittyvissä hankkeissa" "Alltid vid placering eller grävning"
"attachmentType.yleiset-alueet.tilapainen-liikennejarjestelysuunnitelma" "Tilapäinen liikennejärjestelysuunnitelma" "Plan för tillfälligt trafikarrangemang"
"attachmentType.yleiset-alueet.tilapainen-liikennejarjestelysuunnitelma.info" "Jos toimintaan liittyy tilapäisiä liikennejärjestelyitä" "Om tillfälliga trafikarrangemang knyter sig till verksamheten"
"attachmentType.yleiset-alueet.tyoalueen-kuvaus" "Työalueen kuvaus" "Beskrivning av arbetsområdet"
"attachmentType.yleiset-alueet.tyoalueen-kuvaus.info" "Jos viranomaisen ohjeissa vaaditaan työalueen kuvausdokumentti" "Om beskrivning av arbetsområdet krävs i myndighetens anvisningar"
"attachmentType.yleiset-alueet.tyyppiratkaisu" "Tyyppiratkaisu" "Typlösning"
"attachmentType.yleiset-alueet.tyyppiratkaisu.info" "Jos hanketta kuvataan tyyppiratkaisun avulla" "Om projektet beskrivs med typlösning"
"attachmentType.yleiset-alueet.valokuva" "Valokuva" "Foto"
"attachmentType.yleiset-alueet.valokuva.info" "Jos halutaan kuvata työaluetta ennen, jälkeen tai työn aikana" "Om man vill beskriva arbetsområdet före, efter eller under arbetet"
"attachmentType.yleiset-alueet.valtakirja" "Valtakirja" "Fullmakt"
"attachmentType.yleiset-alueet.valtakirja.info" "Jos hakemuksen tekee joku muu kuin varsinainen hakija itse" "Om ansökan görs av någon annan än den egentliga ansökaren själv"
"attachmentType.ymparistokuormitus._group_label" "Ympäristökuormitus" "Miljöbelastning"
"attachmentType.ymparistokuormitus.jatteen_hyodyntamista_kasittelya_koskevan_toiminnan_lisatiedot" "Jätteen hyödyntämistä tai käsittelyä koskevan toiminnan lisätiedot" "Tilläggsuppgifter om verksamhet som rör utnyttjande eller hantering av avfall"
"attachmentType.ymparistokuormitus.kaatopaikkaa_koskevan_lupahakemuksen_lisatiedot" "Kaatopaikkaa koskevan lupahakemuksen lisätiedot" "Tilläggsuppgifter om tillståndsansökan gällande avfallsdeponering"
"attachmentType.ymparistokuormitus.melupaastot_tarina" "Melupäästöt ja tärinä" "Buller och vibration"
"attachmentType.ymparistokuormitus.paastot_ilmaan" "Päästölähteet sekä päästöjen laatu ja määrä ilmaan" "Källor till utsläpp samt utsläppens kvalitet och mängd i luften"
"attachmentType.ymparistokuormitus.paastot_maaperaan_pohjaveteen" "Päästölähteet sekä päästöjen estäminen maaperään ja pohjaveteen" "Utsläppskällor samt förhindrande av utsläpp i marken och grundvattnet"
"attachmentType.ymparistokuormitus.paastot_vesistoon_viemariin" "Päästölähteet sekä päästöjen laatu ja määrä vesistöön ja viemäriin" "Källor till utsläpp samt utsläppens kvalitet och mängd i vattendrag och avlopp"
"attachmentType.ymparistokuormitus.selvitys_jatteiden_maaran_haitallisuuden_vahentamiseksi" "Selvitys toimista jätteiden määrän tai niiden haitallisuuden vähentämiseksi sekä jätteiden hyödyntämisestä omassa toiminnassa" "Utredning om åtgärder för att minska mängden avfall eller dras skadlighet samt utnyttjande av avfallet i den egna verksamheten"
"attachmentType.ymparistokuormitus.selvitys_paastojen_vahentamisesta_puhdistamisesta" "Selvitys päästöjen vähentämisestä ja puhdistamisesta" "Utredning om minskande och rening av utsläpp"
"attachmentType.ymparistokuormitus.selvitys_vakavaraisuudesta_vakuudesta" "Selvitys vakavaraisuudesta ja tai vakuudesta" "Utredning om kapitaltäckning och eller garanti"
"attachmentType.ymparistokuormitus.syntyvat_jatteet" "Syntyvät jätteet ja niiden ominaisuudet, määrät, varastointi sekä edelleen toimittaminen" "Avfall som uppstår och deras egenskaper, mängder, förvaring samt vidarebefordring"
"attachmentType.ymparistokuormitus.tiedot_pilaantuneesta_maaperasta" "Tiedot pilaantuneesta maaperästä ja sen käsittelystä" "Uppgifter om förorenad mark och hantering av den"
"attachmentType.kartat.liitekartta" "Liitekartta" "Kartbilaga"
"attachmentType.kartat.rasitesopimuksen_liitekartta" "Rasitesopimuksen liitekartta" "Kartbilaga till servitutsavtal"
"attachmentType.kiinteiston_hallinta.jakosopimus" "Jakosopimus" "Avtal om delning"
"attachmentType.kiinteiston_hallinta.kaupparekisteriote" "Kaupparekisteriote" "Utdrag ur handelsregistret"
"attachmentType.kiinteiston_hallinta.ote_osakeyhtion_hallituksen_kokouksen_poytakirjasta" "Ote osakeyhtiön hallituksen kokouksen pöytäkirjasta" "Utdrag ur protokoll från aktiebolagets styrelsemöte"
"attachmentType.kiinteiston_hallinta.ote_osakeyhtion_yhtiokokouksen_poytakirjasta" "Ote osakeyhtiö yhtiökokouksen pöytäkirjasta" "Utdrag ur protokoll från aktiebolagets bolagsstämma"
"attachmentType.kiinteiston_hallinta.saantokirja" "Saantokirja" "Åtkomsthandling"
"attachmentType.kiinteiston_hallinta.sukuselvitys" "Sukuselvitys" "Släktutredning"
"attachmentType.kiinteiston_hallinta.testamentti" "Testamentti" "Testamente"
"attachmentType.kiinteiston_hallinta.tilusvaihtosopimus" "Tilusvaihtosopimus" "Ägobytesavtal"
"attachmentType.kiinteiston_hallinta.yhtiojarjestys" "Yhtiöjärjestys" "Bolagsordning"
"attachmentType.erityissuunnitelmat.kaivannaisjatteen_jatehuoltosuunnitelma.info" "" ""
"attachmentType.erityissuunnitelmat.kivenmurskaamo.info" "" ""
"attachmentType.erityissuunnitelmat.luonnonsuojelulain_arviointi.info" "" ""
"attachmentType.erityissuunnitelmat.ottamissuunnitelma.info" "" ""
"attachmentType.erityissuunnitelmat.selvitys_jalkihoitotoimenpiteista.info" "" ""
"attachmentType.erityissuunnitelmat.yvalain_mukainen_arviointiselostus.info" "" ""
"attachmentType.hakija.ottamisalueen_omistus_hallintaoikeus.info" "" ""
"attachmentType.laitoksen_tiedot.muut_paatokset_sopimukset.info" "" ""
